Peil Ghaelach	Peil
Rugbaí	Peil
An tIRA Sealadach	Óglaigh na hÉireann
Bun na hAbhann, Contae Dhún na nGall	Bun na hAbhna
Síol Éalaigh	Slí Cualann
An tOireamh	Oireamh
An Leabhar Uaine	Óglaigh na hÉireann
Bun na h-Abhainn	Bun Abhann
Bun na h-Abhainn	Bun na hAbhann
Bun na h-Abhainn	Bun na hAbhna
Mullach Dubh, Contae Dhún na nGall	An Mullach Dubh
Cumann Gaelach Choláiste na Tríonóide	Cumann Gaelach
Cill na nGarbhán	Cill Gharbháin
Bun na h-Aibhne	Bun Abhann
Bun na h-Aibhne	Bun na hAbhann
Bun na h-Aibhne	Bun na hAbhna
Dúloch	An Dúloch
An Cam	An Com
Ráith	An Ráith
An Ráith	An Ráth
Dún Mór (idirdhealú)	An Dún Mór
Cluain na nGamhan (idirdhealú)	Cluain Gamhna
An Baile Dubh Uachtarach	An Baile Dubh
An Baile Dubh Uachtarach	An Baile Dubh Íochtarach
An Baile Dubh Íochtarach	An Baile Dubh
An Baile Dubh Íochtarach	An Baile Dubh Uachtarach
An Droim Mór	An Drom Mór
An Drom Mór	An Droim Mór
Taobh Mór	An Taobh Mór
An Cillín	An Coillín
An Coillín	An Cillín
An Ráth	An Ráith
Bun Abhann	Bun na hAbhann
Bun Abhann	Bun na hAbhna
Bun na hAbhna	Bun Abhann
Bun na hAbhna	Bun na hAbhann
Bun na hAbhann	Bun Abhann
Bun na hAbhann	Bun na hAbhna
An Aird Mhóir	An Aird Mhór
An Baile Dubh	An Baile Dubh Uachtarach
An Baile Dubh	An Baile Dubh Íochtarach
An Dúloch	Dúloch
Falscaithe san Astráil, 2009	Séasúir na bhfalscaithe san Astráil
Falscaithe san Astráil	Séasúir na bhfalscaithe san Astráil
Clochán (idirdhealú)	An Clochán
Baile na Cille	Baile na Coille
Ros (idirdhealú)	An Ros
Log an Choire	Lag an Choire
Lag an Choire	Log an Choire
An Tamhnach	Tamhnach
Tamhnach	An Tamhnach
An Caiseal	Caiseal
Cluain Mór	An Chluain Mhór
Cluain Mór	Cluain Mhór
Cluain Mhór	An Chluain Mhór
Cluain Mhór	Cluain Mór
Cluain	An Chluain
An Chluain	Cluain
An tSráidbhaile, Contae Phort Láirge	An Sráidbhaile
Carn (idirdhealú)	An Carn
Buailteachas	An Bhuaile
Buailteachas	An Bhuaile Bheag
Buailteachas	An Bhuaile Bhán
Buailteachas	Baile na Buaile
Buailteachas	Cnoc an tSamhraidh
An Innis	An Inis
An Innis	An Inse
Díseart	An Díseart
An Inse	An Inis
An Inis	An Inse
An Nuachabháil (idirdhealú)	Nuachabháil
Mícheál Ó Súilleabháin (ollamh)	Micheál Ó Súilleabháin
An Ghráinseach	An Ghráinseach Thiar
Wanderwort	Cannabas
Sean Barrett (eacnamaí)	Seán Barrett
